Name,CreatedDate,Service_Application,Post_Assessment_Date,Post,Pre_Assessment_Date,Pre,Priority_Rank,Priority_Name,Impact_Category
IS-00683,2019-04-24 18:51:03,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-00688,2019-04-24 20:18:28,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,23,Adequate lighting,Falls Prevention
IS-00685,2019-04-24 20:17:16,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,Yes,20,No ratty carpeting,Air Quality
IS-00686,2019-04-24 20:17:47,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-00687,2019-04-24 20:18:10,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,22,Interior temperature OK,Health Risk
IS-00689,2019-04-24 20:18:40,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00690,2019-04-24 20:18:54,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,25,No water leaks,Air Quality
IS-00691,2019-04-24 21:22:24,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,1,Safe ingress/egress,Falls Prevention
IS-00698,2019-04-24 21:24:19,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,8,Smoke detectors OK,Fire Prevention
IS-00699,2019-04-24 21:24:32,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00692,2019-04-24 21:22:38,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00693,2019-04-24 21:22:54,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,3,Runoff diverted,Home Preservation
IS-00694,2019-04-24 21:23:13,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,No,4,No gaps/cracks/holes,Energy Efficiency
IS-00695,2019-04-24 21:23:29,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,5,Doors/windows secure,Energy Efficiency
IS-00696,2019-04-24 21:23:50,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,6,Pest free,Health Risk
IS-00697,2019-04-24 21:24:03,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,7,Numerals visible,Health Risk
IS-00700,2019-04-24 21:27:48,service_app_3,2020-09-17 00:00:00,No,2019-03-26 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-00701,2019-04-24 21:28:04,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-00702,2019-04-24 21:28:20,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,12,No electrical hazards,Fire Prevention
IS-00703,2019-04-24 21:36:33,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00704,2019-04-24 21:36:48,service_app_3,2020-09-17 00:00:00,No,2019-03-26 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00705,2019-04-24 21:37:03,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00706,2019-04-24 21:37:17,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,16,Mods in bath if needed,Falls Prevention
IS-00707,2019-04-24 21:37:32,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,17,Grab bars if needed,Falls Prevention
IS-00708,2019-04-24 21:37:46,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,18,Stair rails if needed,Falls Prevention
IS-00709,2019-04-24 21:38:25,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,19,No tripping hazards,Falls Prevention
IS-00710,2019-04-24 21:38:41,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,20,No ratty carpeting,Air Quality
IS-00712,2019-04-24 21:39:25,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-00711,2019-04-24 21:39:01,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-00713,2019-04-24 21:40:24,service_app_3,2020-09-17 00:00:00,No,2019-03-26 00:00:00,No,23,Adequate lighting,Falls Prevention
IS-00714,2019-04-24 21:40:40,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00715,2019-04-24 21:40:55,service_app_3,2020-09-17 00:00:00,Yes,2019-03-26 00:00:00,Yes,25,No water leaks,Air Quality
IS-00716,2019-04-24 22:29:45,service_app_1,,No,2019-04-01 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-00717,2019-04-24 22:29:57,service_app_1,,No,2019-04-01 00:00:00,No,2,Roof watertight,Home Preservation
IS-00719,2019-04-24 22:30:21,service_app_1,,No,2019-04-01 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00718,2019-04-24 22:30:07,service_app_1,,No,2019-04-01 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00720,2019-04-24 22:30:30,service_app_1,,No,2019-04-01 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-00721,2019-04-24 22:30:43,service_app_1,,No,2019-04-01 00:00:00,No,6,Pest free,Health Risk
IS-00722,2019-04-24 22:30:56,service_app_1,,No,2019-04-01 00:00:00,No,7,Numerals visible,Health Risk
IS-00723,2019-04-24 22:31:08,service_app_1,,No,2019-04-01 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-00724,2019-04-24 22:31:21,service_app_1,,No,2019-04-01 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00726,2019-04-24 22:31:43,service_app_1,,No,2019-04-01 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-00729,2019-04-24 22:32:28,service_app_1,,No,2019-04-01 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00725,2019-04-24 22:31:33,service_app_1,,No,2019-04-01 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-00727,2019-04-24 22:32:03,service_app_1,,No,2019-04-01 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-00734,2019-04-24 22:33:37,service_app_1,,No,2019-04-01 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-00741,2019-04-24 22:34:51,service_app_1,,No,2019-04-01 00:00:00,No,25,No water leaks,Air Quality
IS-00728,2019-04-24 22:32:15,service_app_1,,No,2019-04-01 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00730,2019-04-24 22:32:41,service_app_1,,No,2019-04-01 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00731,2019-04-24 22:32:51,service_app_1,,No,2019-04-01 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00733,2019-04-24 22:33:27,service_app_1,,No,2019-04-01 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00739,2019-04-24 22:34:33,service_app_1,,No,2019-04-01 00:00:00,No,23,Adequate lighting,Falls Prevention
IS-00735,2019-04-24 22:33:50,service_app_1,,No,2019-04-01 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-00736,2019-04-24 22:34:00,service_app_1,,No,2019-04-01 00:00:00,No,20,No ratty carpeting,Air Quality
IS-00737,2019-04-24 22:34:14,service_app_1,,No,2019-04-01 00:00:00,No,21,Dryer vented outside,Home Preservation
IS-00738,2019-04-24 22:34:24,service_app_1,,No,2019-04-01 00:00:00,No,22,Interior temperature OK,Health Risk
IS-00740,2019-04-24 22:34:41,service_app_1,,No,2019-04-01 00:00:00,No,24,Interior paint intact,Home Preservation
IS-00742,2019-04-25 18:28:35,service_app_0,,No,2019-04-22 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-00748,2019-04-25 18:30:46,service_app_0,,No,2019-04-22 00:00:00,Yes,7,Numerals visible,Health Risk
IS-00743,2019-04-25 18:28:50,service_app_0,,No,2019-04-22 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00750,2019-04-25 18:31:13,service_app_0,,No,2019-04-22 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00744,2019-04-25 18:29:26,service_app_0,,No,2019-04-22 00:00:00,Yes,3,Runoff diverted,Home Preservation
IS-00745,2019-04-25 18:29:40,service_app_0,,No,2019-04-22 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00746,2019-04-25 18:29:59,service_app_0,,No,2019-04-22 00:00:00,Yes,5,Doors/windows secure,Energy Efficiency
IS-00747,2019-04-25 18:30:12,service_app_0,,No,2019-04-22 00:00:00,Yes,6,Pest free,Health Risk
IS-00752,2019-04-25 18:31:46,service_app_0,,No,2019-04-22 00:00:00,No,11,CO exhausted outside,Air Quality
IS-00749,2019-04-25 18:30:58,service_app_0,,No,2019-04-22 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-00751,2019-04-25 18:31:31,service_app_0,,No,2019-04-22 00:00:00,Yes,10,Fire extinguisher OK,Fire Prevention
IS-00753,2019-04-25 18:56:19,service_app_0,,No,2019-04-22 00:00:00,Yes,12,No electrical hazards,Fire Prevention
IS-00754,2019-04-25 18:56:41,service_app_0,,No,2019-04-22 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00756,2019-04-25 19:11:43,service_app_0,,No,2019-04-22 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00757,2019-04-25 19:11:59,service_app_0,,No,2019-04-22 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00758,2019-04-25 19:19:43,service_app_0,,No,2019-04-22 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00759,2019-04-25 19:20:02,service_app_0,,No,2019-04-22 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00760,2019-04-25 19:20:22,service_app_0,,No,2019-04-22 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-00761,2019-04-25 19:40:40,service_app_0,,No,2019-04-22 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-00762,2019-04-25 19:40:52,service_app_0,,No,2019-04-22 00:00:00,No,20,No ratty carpeting,Air Quality
IS-00763,2019-04-25 19:41:07,service_app_0,,No,2019-04-22 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-00764,2019-04-25 19:41:22,service_app_0,,No,2019-04-22 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-00765,2019-04-25 19:42:12,service_app_0,,No,2019-04-22 00:00:00,Yes,23,Adequate lighting,Falls Prevention
IS-00766,2019-04-25 19:42:26,service_app_0,,No,2019-04-22 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00767,2019-04-25 19:42:40,service_app_0,,No,2019-04-22 00:00:00,Yes,25,No water leaks,Air Quality
IS-00768,2019-04-29 19:00:25,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,Yes,1,Safe ingress/egress,Falls Prevention
IS-00769,2019-04-29 19:00:47,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00770,2019-04-29 19:01:31,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00771,2019-04-29 19:04:04,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00772,2019-04-29 19:04:49,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,Yes,5,Doors/windows secure,Energy Efficiency
IS-00773,2019-04-29 19:05:36,service_app_17,2020-03-27 00:00:00,Yes,2019-05-06 00:00:00,Yes,6,Pest free,Health Risk
IS-00774,2019-04-29 19:05:55,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,Yes,7,Numerals visible,Health Risk
IS-00775,2019-04-29 19:08:09,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,Yes,8,Smoke detectors OK,Fire Prevention
IS-00778,2019-04-29 19:12:49,service_app_17,2020-03-27 00:00:00,Yes,2019-03-15 00:00:00,Yes,9,CO detectors OK,Health Risk
