Id,CreatedDate,Project,Amount,Bid_Date,Bid_Date_2,Status,Warranty_Included,Estimated_Completion_Date,Service_Application
contractor_bid_45,2025-07-09 18:29:55,project_14,1125.0,2025-02-23 00:00:00,,Selected,1,,service_app_255
contractor_bid_46,2025-07-09 18:31:53,project_14,500.0,2025-04-17 00:00:00,,Selected,1,,service_app_255
contractor_bid_47,2025-07-21 16:00:46,project_28,23520.0,2025-07-15 00:00:00,,Selected,1,,
contractor_bid_48,2025-07-28 17:57:56,project_15,1150.0,2025-04-11 00:00:00,,Selected,0,,
contractor_bid_49,2025-07-30 16:12:46,project_29,29000.0,2025-07-17 00:00:00,,Selected,1,,service_app_315
contractor_bid_50,2025-07-30 16:16:19,project_29,1117.0,2025-07-02 00:00:00,,Selected,0,,service_app_315
contractor_bid_51,2025-08-11 18:52:56,project_30,28090.0,2025-07-08 00:00:00,,Selected,1,,service_app_202
contractor_bid_52,2025-08-11 18:53:50,project_30,1125.0,2025-07-07 00:00:00,,Selected,0,,service_app_202
contractor_bid_53,2025-08-11 18:54:24,project_30,6000.0,2025-07-07 00:00:00,,Site Visit,0,,service_app_202
contractor_bid_54,2025-09-23 16:15:38,project_29,1302.0,2025-08-19 00:00:00,,Selected,1,,service_app_315
